round,step,avg_reward,avg_critic_loss
1,12000.0,14.4,
1,14000.0,10.6,
1,16000.0,11.6,
1,18000.0,29.8,
1,20000.0,28.6,
2,12000.0,123.6,
2,14000.0,437.6,
2,16000.0,125.4,
2,18000.0,295.4,
2,20000.0,40.8,
3,12000.0,69.8,
3,14000.0,91.4,
3,16000.0,500.0,
3,18000.0,500.0,
3,20000.0,500.0,
1,1000.0,9.4,
1,2000.0,9.6,
1,3000.0,9.6,
1,4000.0,8.6,
1,5000.0,9.6,
1,6000.0,9.2,
1,7000.0,9.4,
1,8000.0,9.6,
1,9000.0,9.6,
1,10000.0,9.4,
2,1000.0,11.6,
2,2000.0,12.8,
2,3000.0,15.8,
2,4000.0,199.4,
2,5000.0,162.6,
2,6000.0,166.2,
2,7000.0,125.8,
2,8000.0,104.4,
2,9000.0,121.6,
2,10000.0,91.2,
3,1000.0,10.8,
3,2000.0,12.2,
3,3000.0,57.0,
3,4000.0,73.4,
3,5000.0,60.6,
3,6000.0,72.6,
3,7000.0,62.4,
3,8000.0,61.2,
3,9000.0,76.6,
3,10000.0,64.8,
4,1000.0,50.4,
4,2000.0,62.8,
4,3000.0,83.2,
4,4000.0,83.4,
4,5000.0,143.8,
4,6000.0,189.2,
4,7000.0,111.4,
4,8000.0,73.6,
4,9000.0,65.0,
4,10000.0,79.8,
5,1000.0,9.6,
5,2000.0,9.8,
5,3000.0,9.2,
5,4000.0,330.0,
5,5000.0,85.8,
5,6000.0,349.8,
5,7000.0,88.0,
5,8000.0,99.0,
5,9000.0,105.2,
5,10000.0,91.8,
1,,,0.2676337910443544
