round,iteration,total_human_queries,auto_labels,auto_rate,graph_edges,augmentation,defender_changed,ensemble_std_mean,defender_id,defender_source,defender_true_reward
1,1,10,20,100.0,35,3.5,False,1.138034537434578,53,Entropy,37.0
1,2,10,20,100.0,52,5.2,False,1.0771543592214585,53,Entropy,37.0
1,3,10,20,100.0,65,6.5,False,1.1046430170536041,53,Entropy,37.0
1,4,11,19,95.0,72,6.545454545454546,False,1.0762107402086258,53,Entropy,37.0
1,5,11,20,100.0,80,7.2727272727272725,False,1.1050675511360168,53,Entropy,37.0
1,6,11,20,100.0,87,7.909090909090909,False,1.0425757497549057,53,Entropy,37.0
1,7,11,20,100.0,96,8.727272727272727,False,0.9719508200883865,53,Entropy,37.0
1,8,11,20,100.0,100,9.090909090909092,False,1.0097415417432785,53,Entropy,37.0
1,9,11,20,100.0,103,9.363636363636363,False,0.9468116819858551,53,Entropy,37.0
1,10,11,20,100.0,105,9.545454545454545,False,1.079378643631935,53,Entropy,37.0
2,1,12,19,95.0,127,10.583333333333334,False,1.4701497852802277,131,Entropy,38.0
2,2,12,20,100.0,146,12.166666666666666,False,1.2723163455724715,131,Entropy,38.0
2,3,13,19,95.0,160,12.307692307692308,False,1.381028312444687,131,Entropy,38.0
2,4,14,19,95.0,174,12.428571428571429,False,1.4604697167873382,131,Entropy,38.0
2,5,15,19,95.0,223,14.866666666666667,False,1.3521911740303039,131,Entropy,38.0
2,6,15,20,100.0,225,15.0,False,1.2994110018014908,131,Entropy,38.0
2,7,15,20,100.0,226,15.066666666666666,False,1.3192268073558808,131,Entropy,38.0
2,8,15,20,100.0,227,15.133333333333333,False,1.1638881355524062,131,Entropy,38.0
2,9,15,20,100.0,229,15.266666666666667,False,1.38595649600029,131,Entropy,38.0
2,10,15,20,100.0,229,15.266666666666667,False,1.3412298321723939,131,Entropy,38.0
3,1,16,19,95.0,251,15.6875,False,1.1405790895223618,145,SAC,106.0
3,2,17,18,90.0,269,15.823529411764707,False,1.1704026103019713,145,SAC,106.0
3,3,18,0,90.0,342,19.0,False,1.4318634539842605,145,SAC,106.0
3,4,19,15,75.0,346,18.210526315789473,False,1.989225658774376,145,SAC,106.0
3,5,20,18,90.0,350,17.5,False,1.304585689306259,145,SAC,106.0
3,6,21,18,90.0,352,16.761904761904763,False,1.2664369195699692,145,SAC,106.0
3,7,22,18,90.0,356,16.181818181818183,False,1.349341979622841,145,SAC,106.0
3,8,23,17,85.0,371,16.130434782608695,False,1.5333421915769576,145,SAC,106.0
3,9,24,19,95.0,372,15.5,False,1.115451031923294,145,SAC,106.0
3,10,25,17,85.0,374,14.96,False,1.6760469168424605,145,SAC,106.0
